"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.036703092E2,6.505512247E1,2.545628556E1,1.007220724E1,1.139999986E0,8.759999847E1,3.790092468E0,2.500000000E0
1.046699913E2,6.505512086E1,2.545631509E1,9.932806735E0,1.240000010E0,8.740000153E1,3.790092468E0,2.500000000E0
1.056708666E2,6.505511936E1,2.545634414E1,9.758066777E0,1.250000000E0,8.880000305E1,3.790092468E0,2.500000000E0
1.066707048E2,6.505511782E1,2.545637564E1,9.772841256E0,1.330000043E0,9.169999695E1,3.790092468E0,2.500000000E0
1.076705698E2,6.505511600E1,2.545640653E1,9.452960018E0,1.279999971E0,9.109999847E1,3.790092468E0,2.500000000E0
1.086703766E2,6.505511426E1,2.545643905E1,9.384604802E0,1.309999943E0,9.000000000E1,3.790092468E0,2.500000000E0
1.096699514E2,6.505511281E1,2.545647026E1,9.164821110E0,1.309999943E0,9.050000000E1,3.790092468E0,2.500000000E0
1.106706711E2,6.505511184E1,2.545650233E1,9.176787810E0,1.299999952E0,8.840000153E1,3.790092468E0,2.500000000E0
1.116707005E2,6.505511084E1,2.545653503E1,9.104831249E0,1.309999943E0,8.780000305E1,3.790092468E0,2.500000000E0
1.126706318E2,6.505510954E1,2.545656707E1,8.981238993E0,1.330000043E0,9.000000000E1,3.790092468E0,2.500000000E0
1.136701145E2,6.505510746E1,2.545660146E1,8.873638504E0,1.409999967E0,8.880000305E1,3.790092468E0,2.500000000E0
1.146705825E2,6.505510651E1,2.545663746E1,8.953842921E0,1.480000019E0,9.040000153E1,3.790092468E0,2.500000000E0
1.156700430E2,6.505510521E1,2.545667257E1,8.789052262E0,1.429999948E0,9.090000153E1,3.790092468E0,2.500000000E0
1.166706600E2,6.505510369E1,2.545670786E1,8.616082998E0,1.409999967E0,9.130000305E1,3.790092468E0,2.500000000E0
1.176701668E2,6.505510148E1,2.545674357E1,8.564451938E0,1.450000048E0,9.359999847E1,3.790092468E0,2.500000000E0
1.186707678E2,6.505509849E1,2.545677844E1,8.593936817E0,1.470000029E0,9.390000153E1,3.790092468E0,2.500000000E0
1.196703839E2,6.505509714E1,2.545681254E1,8.632637280E0,1.480000019E0,9.080000305E1,3.790092468E0,2.500000000E0
1.206700619E2,6.505509727E1,2.545684523E1,8.648692971E0,1.490000010E0,8.859999847E1,3.790092468E0,2.500000000E0
1.216708079E2,6.505509798E1,2.545687640E1,8.445204816E0,1.429999948E0,8.669999695E1,3.790092468E0,2.500000000E0
1.226701286E2,6.505509887E1,2.545690701E1,8.394609598E0,1.450000048E0,8.680000305E1,3.790092468E0,2.500000000E0
1.236699376E2,6.505509941E1,2.545694082E1,8.335408901E0,1.519999981E0,8.650000000E1,3.790092468E0,2.500000000E0
1.246707131E2,6.505509973E1,2.545697316E1,8.181786746E0,1.529999971E0,8.759999847E1,3.790092468E0,2.500000000E0
1.256704707E2,6.505509896E1,2.545700665E1,8.183621683E0,1.549999952E0,9.140000153E1,3.790092468E0,2.500000000E0
1.266701394E2,6.505509833E1,2.545704128E1,8.194550926E0,1.580000043E0,8.980000305E1,3.790092468E0,2.500000000E0
1.276704967E2,6.505509859E1,2.545707695E1,8.267308545E0,1.590000033E0,8.750000000E1,3.790092468E0,2.500000000E0
1.286702418E2,6.505509830E1,2.545711218E1,8.387307543E0,1.519999981E0,8.900000000E1,3.790092468E0,2.500000000E0
1.296699347E2,6.505509840E1,2.545714450E1,8.113018968E0,1.509999990E0,9.050000000E1,3.790092468E0,2.500000000E0
1.306705609E2,6.505509829E1,2.545717792E1,8.100998660E0,1.580000043E0,9.069999695E1,3.790092468E0,2.500000000E0
1.316707345E2,6.505509920E1,2.545720881E1,7.800891745E0,1.529999971E0,8.950000000E1,3.790092468E0,2.500000000E0
1.326705203E2,6.505509961E1,2.545724108E1,7.890921891E0,1.590000033E0,9.090000153E1,3.790092468E0,2.500000000E0
1.336707077E2,6.505509945E1,2.545727433E1,7.902033908E0,1.629999995E0,9.300000000E1,3.790092468E0,2.500000000E0
1.346704535E2,6.505509897E1,2.545730691E1,7.851256329E0,1.539999962E0,9.340000153E1,3.790092468E0,2.500000000E0
1.356705648E2,6.505509998E1,2.545733531E1,7.906312683E0,1.529999971E0,9.019999695E1,3.790092468E0,2.500000000E0
1.366701539E2,6.505510200E1,2.545736085E1,7.772342458E0,1.450000048E0,8.940000153E1,3.790092468E0,2.500000000E0
1.376705665E2,6.505510334E1,2.545739042E1,7.852423223E0,1.549999952E0,8.859999847E1,3.790092468E0,2.500000000E0
1.386701168E2,6.505510569E1,2.545741870E1,7.741646521E0,1.509999990E0,8.669999695E1,3.790092468E0,2.500000000E0
1.396705710E2,6.505510820E1,2.545744527E1,7.718638130E0,1.509999990E0,8.600000000E1,3.790092468E0,2.500000000E0
1.406702932E2,6.505510944E1,2.545747399E1,7.843091401E0,1.440000057E0,8.909999847E1,3.790092468E0,2.500000000E0
